,Title,ParentGame,ReleaseDate,Team,Rating,xListed,xReviewed,Platforms,Genres,Summary,Reviews,Plays,Playing,Backlogs,Wishlist
38,God of War,,"Mar 22, 2005","['SCE Santa Monica Studio', 'Sony Computer Entertainment']",3.6,1100,444,['PlayStation 2'],"['Adventure', 'Brawler', 'Strategy']","Similar to franchises like Devil May Cry, Rygar, and Castlevania, the game draws its inspiration from ancient Greek mythology and boasts a heavy emphasis on exploration and battle strategy. Broken into three to four acts, the game also has a strong focus on story-telling and boast tons of magic spells and abilities. Described as ""Clash of the Titans meets Heavy Metal"", God of War equips its hero with a pair of sword-like chain weapons that can grab enemies, perform multi-hit combos, and pull off a variety of different aerial attacks. Slight platforming elements and an energy collection system similar to that of Onimusha have been incorporated as well, and players are even able to use certain elements of their fallen enemies as a weapon (re: Medusa's head, for instance, can be used to turn enemies to stone after you've defeated her).","[""I'm so glad I finally decided to play GoW1. This game is epic from head to toe. Kratos is a tragic character whose backstory is truly masterfully written. The gameplay is super fun and full of combo potential. Upgrading weapons and powers kept combat fresh and fun throughout the whole game. Overall, a near-masterpiece."", 'O JOGO QUE EU MAIS JOGUEI NA MINHA INFÂNCIA', ""The story was alright, it's nothing special but it had cool cutscenes for a ps2 game."", 'Legal pra combar, mas é bem repetitivo ás vezes.', 'The perfect marriage of nonstop action, challenging combat, clever puzzles and ancient Greek mythology.', 'É gow']",12000,172,1700,981
39,Slay the Spire,,"Jan 23, 2019","['Humble Games', 'Mega Crit Games']",4.1,769,391,"['Windows PC', 'Android', 'Mac', 'Linux', 'PlayStation 4', 'iOS', 'Xbox One', 'Nintendo Switch']","['Adventure', 'Card & Board Game', 'Indie', 'RPG', 'Strategy', 'Turn Based Strategy']","We fused card games and roguelikes together to make the best single player deckbuilder we could. Craft a unique deck, encounter bizarre creatures, discover relics of immense power, and Slay the Spire!","[""My favorite roguelite game out of them all, can't see it ever getting old"", 'Played Slay the Spire yesterday, playing Slay the Spire today, will definitely play Slay the Spire tomorrow', 'a good amount of content for the card game grinder, an AMAZING mod scene for the average fun haver. ive had 100+ mods running at once and its easier to say how long it took to open in HOURS rather than minutes or seconds. gg', 'I played the shit out of this', ""Highly addictive deck-builder rouge-like. There are so many different strategies for each of the 4 characters and the game is short enough that you can comfortably start a run with any intention you want. Sometimes, games like this are too difficult/long to want to start again or try a non-optimal build, but this game is so well designed I would say there aren't perfectly optimal builds, only situationally strong ones."", 'The fact that random fruits like pears and such are rare artifacts in this game is hilarious and also does a lot of implied worldbuilding.']",6700,431,1400,609
40,Rise of the Tomb Raider,,"Nov 10, 2015","['Microsoft Studios', 'Crystal Dynamics']",3.5,735,274,"['Windows PC', 'Mac', 'Xbox 360', 'Linux', 'PlayStation 4', 'Xbox One', 'Google Stadia']","['Adventure', 'Shooter']","Join Lara Croft on her first great tomb raiding expedition as she seeks to discover the secret of immortality. Featuring high-octane action set in the most beautiful and hostile environments on earth, Rise of the Tomb Raider delivers cinematic survival action-adventure.","['história bem top mesmo que seja um pouco genérica, em questão de gameplay é o melhor.', 'i played this game in pretty spaced out intervals, so im definitely gonna forget a lot of things in my review. i did think the first half of this game was a lot better for the second, and i have no idea how it turned out that way. it started out so promising with a good level of difficulty and strategy. then the second half hits and theyre throwing 30 enemies at you with limited ammo and shit weapons. and the puzzles also become really odd and confusing. i think tomb raider just works best when the bow is your main weapon, because for some reason the guns are all horrible to use, even when upgraded. towards the end you pretty much only get to use guns, i lowered my difficulty and i still struggled because they literally give you like 3 bullets at a time. but you can have an endless supply of arrows!', 'I played this game in 2023 and even tho there are still so much bugs. Lara\'s hair is always moving like crazy doesn\'t matter if she is indoor or in a windy place. Story is ridicilously bad, the way ana betrays is just funny and makes no sense to me. The game is all about go, run, jump, climb, arrive to a place then ""Wow, there are enemies here. Let me kill them."" and this loop continues all the time. Even tho my computer is enough to play it in a normal level. I got so much low fps. Even when the graphs are highest and the lowest I got 30 fps everytime.Gun controls are sooo much clunky feels like it made only for console.There are no tomb raider stuff in it like arhaeology or mistery etc. Just killing people with a random storyline. Action dose of this game is so much unstable. There is a moment when you are in theirs jail and you run away from there with Jacob. There are literally no guards in that building and you just walk away and when they realised that you just run away they literally chase you with armed helicopter. Like if i am that important, at least put some people on that building. You walk in a place and it rondomly starts collapsing and you start to run. Rocks from the top of the place come down and you dodge them while running. Its like so random. You arrive in to Jacob\'s village and randomly helicopters arrive and destory the village, you kill like 10 people or something and they go away and it has nothing to do with storyline. The way mine collaps on jacob is just random. You walk in the mine then it collaps, no information about what happened to him, then he appears rondomly to save you. There are no puzzles which is the point of tomb raider games. I am not that much of a big fan of puzzles but puzzle-like stuff in this game is just so easy and none of them is fun.', 'Uma boa sequência, particularmente prefiro o primeiro, porem esse entrega melhorias em alguns pontos.\n                     \n                     nota 8/10', 'Just so boring and tedious and janky, not a fun game', 'more of the good stuff, the story is a little generic']",9200,186,2800,652
41,Yakuza 3 Remastered,,"Aug 09, 2018","['Sega', 'RyÅ« Ga Gotoku Studios']",3.3,812,542,"['Windows PC', 'PlayStation 4', 'Xbox One']","['Adventure', 'RPG', 'Simulator']","This is the third Yakuza game, remastered for PlayStation 4!
             

              The Yakuza wars are spreading over to the tropical paradise of Okinawa. After leaving his last base in Kamimuro Chou, Kiryuu Kazuma went to Okinawa and opened an orphanage named Asagao with Haruka. Together with the children, they have taken in, the two slowly let go of the violent lives they have led prior to their arrival. However, the happy days are short-lived for the Yakuza are tightly connected with the Japanese government. A shady deal that involves the land which Asagao is built on spurs Kiryuu and Haruka back to their old hometown and fights with oppositional Yakuza groups. Fights and political intrigue comes hand in hand, become the rising dragon and protect the sanctuary you have built.","['He aprendido a apreciarlo mas con el tiempo\n                     \n                     Mine esta bien', 'given that kiryu as a character means so much to me, ofc i wanted to experience such an important change in his life when i was doing my series playthrough. technically speaking, it wasnâ€™t pleasant and the game definitely took its time, but it is what it is. there was also a lot narratively that was par for the course in the series overall, but rikiya dying was still shitty. ðŸ˜\xad', 'The five stages of Yakuza 3:\n                     \n                     Denial: ""No, I refuse to accept that this game is bad as it seems""\n                     \n                     Anger: ""This game is bullshit. I\'m 4 chapters in and we are still doing orphanage missions and no real story progression.""\n                     \n                     Bargaining: ""Well, maybe the game is not so bad. The story seems kinda interesting.""\n                     \n                     Depression: ""What the hell! Another orphanage sequence, and a goddamn 45 minute-infodumping. This is COMPLETE BULLSHIT""\n                     \n                     Acceptance: ""Well, at least the last chapter is good and the last couple fights are not a pain in the ass.""', 'Me han bloqueado mas aquÃ\xad que streamers en twitter', ""what a bad remaster. they forgot to take into account that they changed the fps from 30 to 60 so now the enemies in combat now act twice as fast, if you wanna know why the enemies are always blocking it's because of this. and this game also has the worst boss fight in the entire series. there are some good things to say though and that yakuza 3 has a great story, and it also introduced a lot of features that are staples of the series like karaoke, it also adds content scrubbed from the original ps3 version and removes that shitty transphobic substory too"", 'the starting chapters involving the orphanage were amazing, but the narrative overall is extremely weird with its pacing. feels like it always chooses to cool off as soon as its at its peak of interest instead of capitalizing on it. also the worst combat of the series by a mile, and extremely bland substories.']",4700,245,2500,968
42,Mario Kart 7,,"Dec 02, 2011",['Nintendo'],3.5,680,393,['Nintendo 3DS'],['Racing'],"The seventh installment of the fan-favorite Mario Kart franchise brings Mushroom Kingdom racing fun into glorious 3D. For the first time, drivers explore new competitive kart possibilities, such as soaring through the skies or plunging to the depths of the sea. New courses, strategic new abilities and customizable karts bring the racing excitement to new heights.","['Te estressa e te diverte.', 'BRING BACK WIGGLER', 'Game.', 'Not as good as MKDS', 'No Waluigi.', 'merde']",11000,63,385,159
43,Watch Dogs 2,,"Nov 15, 2016","['Ubisoft Montreal', 'Ubisoft Entertainment']",3.3,615,343,"['Windows PC', 'PlayStation 4', 'Xbox One', 'Google Stadia']","['Adventure', 'Shooter']","Explore a massive and dynamic open world offering an incredible variety of gameplay possibilities. Hack your way through traffic while you engage in dangerous car chases through the winding streets of San Francisco, traverse the rooftops of the colorful and vibrant neighborhoods of Oakland, and infiltrate the cutting-edge offices of Silicon Valley companies. There are many secrets to uncover in the birthplace of the tech revolution.","['um dos primeiros jogos que eu consegui jogar graças ao xcloud (abandonando a vida de pobre fudido de pc ruim)', 'Peak Watchdogs right here. Wrench, Sitara, Marcus and Josh are just plain awesome', 'peak', 'non', ""Fun game with an interesting story and funny characters. Markus Halloway, wanted for intrusion and hacking, is invited to join DedSec, a hacker group that wants to take down Blume (basically a recreation of Alphabet Inc.\n                     \n                      https://www.kamilfranek.com/what-companies-alphabet-google-owns/\n                     \n                     ), a biggol company who sells user data to other companies for profit.\n                     \n                     Global note: 10/10\n                     \n                     Only negative point I could give to this game is that it's too short."", 'Se supone que es mejor que el 1, pero no me gusta, probablemente lo jugué muy tarde y toda su temática envejeció horrible']",7200,142,2000,502
44,Super Smash Bros.,,"Jan 21, 1999","['Nintendo', 'HAL Laboratory']",3.4,721,338,"['Wii', 'Nintendo 64']","['Fighting', 'Platform']","Super Smash Bros. is a crossover fighting video game between several different Nintendo franchises, and the first installment in the Super Smash Bros. series. Players must defeat their opponents multiple times in a fighting frenzy of items and power-ups. Super Smash Bros. is a departure from the general genre of fighting games: instead of depleting an opponent's life bar, the players seek to knock opposing characters off a stage. Each player has a damage total, represented by a percentage, which rises as the damage is taken.","['Played it via the Smash 64 Remix mod, was fun', 'Primeiro jogo dessa franquia de sucesso. Tem poucos personagens jogáveis em razão das limitações dos cartuchos da época, mas lançou modos de jogo e conceitos inovadores, vale muito a pena conhecer.', ""this all started because mario accidentally stepped on yoshi's foot."", 'Had some fun with family and friends back in the day, never got good at it.', ""Has aged much worse than the other smash games but it was the highlight of my week as a little kid when I got to play this at a friend's house so I hold a lot of nostalgia for this one"", 'Mid']",10000,21,300,224
45,Middle-earth: Shadow of Mordor,,"Sep 30, 2014","['Monolith Productions', 'WB Games']",3.4,574,259,"['Windows PC', 'Mac', 'Xbox 360', 'Linux', 'PlayStation 4', 'PlayStation 3', 'Xbox One']","['Adventure', 'Brawler', 'RPG']","Middle-earth: Shadow of Mordor is a open world third-person action role-playing video game developed by Monolith Productions and published by Warner Bros. Interactive Entertainment, which takes place in the world of J.R.R. Tolkien's Legendarium.
             

              The game takes place in the 60-year gap between the events of Tolkien's The Hobbit and The Lord of The Rings. It is a story of revenge, slaughter, and mystery set entirely in Mordor, the Land of Shadows. At its center is Talion, an ordinary man who loses everything, including his mortal life.
             

              The game is set in a fully open world, and features various role-playing game elements such as experience points and skills. There are various ways the player can complete their main objective. Aside from the main storyline, there are various side quests and random events the player can complete within Mordor.
             

              The melee system is inspired by that of the Batman Arkham series. Getting into a good fighting rhythm, using both regular attacks and counter-attacks will improve the player's combo multiplier.
             

              A unique feature of Middle-earth: Shadow of Mordor is the Nemesis system. Every enemy in the game has their own name, rank, and memory. These enemies will continue to do their own jobs and tasks even when they're off screen. If the player does not kill an enemy in an encounter, this enemy will remember the player and change their tactics and conversations based on the encounter.","['love this fucking game. makes me feel like a badass. celebrimbor and talion are gay lmao', ""I'll play this again some day, cause the first time I had to put the graphics on ridiculously low levels to run on my old pc, and I really did not enjoy all the map and the combat had to offer, but I remember the story and mechanics being pretty cool."", 'An arcade-esque version of the Arkham games, and it’s so goddamn fun! Plot? Story? Who cares, I’m starting a civil war between all these Orc captains!', ""It's decent enough to fulfill my childhood fantasy of becoming a Dúnedain Ranger alright only to realize I've been brutalizing orcs who are just minding their own business"", ""top 10 saddest moments in gaming when i discovered celebrimbor's name was with a K sound and not an S one"", 'Got it with Shadow of war but never really planned to play it.']",9000,114,1900,506
46,Tales of Arise,,"Sep 10, 2021","['Bandai Namco Entertainment', 'Bandai Namco Studios']",3.6,691,316,"['Windows PC', 'PlayStation 4', 'Xbox One', 'PlayStation 5', 'Xbox Series']","['Adventure', 'RPG']","On the planet Dahna, reverence has always been given to Rena--the planet in the sky--as a land of the righteous and divine. Stories handed down for generations became truth and masked reality for the people of Dahna. For 300 years, Rena has ruled over Dahna, pillaging the planet of its resources and stripping people of their dignity and freedom.
             

              Our tale begins with two people, born on different worlds, each looking to change their fate and create a new future. Featuring a diverse cast of characters, intuitive and rewarding combat system, and a captivating story set in a lush world worth fighting for, Tales of Arise delivers a first-class JRPG experience.","['characters were good enough to carry on their own, i feel like thats the main sticking point of tales games so good job there.\n                     \n                     i didnt really care for the plot too much, i thought it was a lot better in the first half than it was in the second half. it was a solid game for sure', 'Characters and combat were good, bosses were too drawn out; each one was a marathon. Story was... Okay.', 'Best Gameplay in the series with a very fun cast, Story is predictable but still very enjoyable', ""Boring combat, sleep inducing story. Couldn't bear much after snow village"", 'Terminado 2023\n                     \n                     +_100 Horas\n                     \n                     AJRPG gostosinh, todos os personagens são bons a historia é legal', 'Great game but needed to be a bit longer, main villain had little screen time but is still a cool character']",3400,603,2400,1900
47,Xenoblade Chronicles: Definitive Edition,,"May 29, 2020","['Monolith Soft', 'Nintendo']",4.3,1500,783,['Nintendo Switch'],['RPG'],"Discover the origins of Shulk as he and his companions clash against a seemingly-unstoppable mechanical menace. Wield a future-seeing blade, chain together attacks, and carefully position your party members in strategic, real-time combat as you journey across a massive world.","[""I'm convinced that this game is one of the greatest of all time."", 'Prob my favorite game of all time.', 'Foda.', 'peak narrative, OST, world, etc. gameplay mechanics are amazing but lacks any challenging fights to use them for', 'Derivative, bland, and soo boring. I really wantes to like this but it does nothing to keep the player engaged', 'the hate its been getting recently is insane']",7900,859,3800,2000
48,Dragon Ball FighterZ,,"Jan 26, 2018","['Arc System Works', 'Bandai Namco Entertainment']",3.7,676,442,"['Windows PC', 'PlayStation 4', 'Xbox One', 'Nintendo Switch']",['Fighting'],Dragon Ball FighterZ is born from what makes the Dragon Ball series so loved and famous: endless spectacular fights with its all-powerful fighters.,"['this game saved my life and my marriage', 'Need to play.', ""I'm addicted to this game."", 'i hate that i like this game this much', 'I enjoy dragonball, i do not enjoy pvp. The input delay is actually horrendous most of the time. but i love dragonball :)', 'Played for like 2 minutes but it counts']",8400,271,760,354
49,Persona 4 Golden,,"Jun 15, 2012","['NIS America', 'Atlus']",4.2,2000,1100,['PlayStation Vita'],"['Adventure', 'RPG', 'Simulator', 'Visual Novel']","An enhanced rerelease of Shin Megami Tensei: Persona 4 (2008) featuring quality-of-life improvements, gameplay enhancements, new locations, balance tweaks, online functionality, new difficulty options, an additional side character storyline and a changed endgame.","[""The characters, story, themes, music, everything about this game is amazing. It's easily one of my favorite games of all time. Only complaint was how easy it can be to miss chunks of content, but otherwise it's a work of art that will change your life. It's so so so soooo good."", 'I played this exactly like how most of my middle school years played out. Did like 5 social links, and spent all of my time upping stats and eating spicy Chinese food.', 'Sucks how I can’t date yosuke but otherwise great game', ""The less good of the Persona games in my opinion. Combat is great but by the end I couldn't stand the investigation team, worst group of the Persona games for me."", 'Homofobia', 'gameplay is pretty much objectively worse than P5R, but story is better in some parts']",14000,1500,5400,2300
50,Doom Eternal,,"Mar 19, 2020","['Bethesda Softworks', 'id Software']",4.2,2000,1200,"['Windows PC', 'PlayStation 4', 'Xbox One', 'PlayStation 5', 'Nintendo Switch', 'Google Stadia', 'Xbox Series']",['Shooter'],Hell’s armies have invaded Earth. Become the Slayer in an epic single-player campaign to conquer demons across dimensions and stop the final destruction of humanity. The only thing they fear... is you.,"['The most versatile Boomer shooter, such a god damn rush', 'The best FPS game ever. And great musics', 'WOW HELL YES', 'irado', 'Not a bad game just had to give it back to my friend and I got tired of it.', 'PEAK FICTION. RAW. BASED. FIRE.']",13000,765,5000,2600
51,Dragon's Dogma: Dark Arisen,,"Apr 23, 2013",['Capcom'],3.8,504,200,"['Windows PC', 'Xbox 360', 'PlayStation 4', 'PlayStation 3', 'Xbox One', 'Nintendo Switch']","['Adventure', 'RPG']","Dragon’s Dogma: Dark Arisen contains all the content from the original Dragon’s Dogma plus the additional content from its sequel, including the Bitterblack Isle area, filled with challenging new enemies and quests, and additional high level weapons and armour sets. Along with its stunningly high resolution graphics and full Steam platform support, this is the ultimate franchise experience for PC players.
             

              Set in a huge open world, Dragon’s Dogma: Dark Arisen presents a rewarding action combat experience. Players embark on an epic adventure in a rich, living world with three AI companions, known as Pawns. These partners fight independently, demonstrating prowess and ability that they have developed based on traits learnt from each player. PC users can share these Pawns online and reap rewards of treasure, tips and strategy hints for taking down the terrifying enemies. Pawns can also be borrowed when specific skills are needed to complete various challenging quests.","['No review here...', 'Esse aqui é maravilhoso. O que faltou em desenvolvimento narrativo nesse jogo, sobrou na riqueza das mecânicas dele, todas as classes são ricas, viáveis e as mais avançadas são muito criativas.\n                     \n                     Mas não só de uma gameplay maravilhosa se faz um bom jogo, esse aqui um diferencial, é fortemente inspirado no manga Berserk, a atmosfera, design de armas, roupas e inimigos tudo parece ter saído de uma versão mais light de Berserk, já na tela inicial tem um personagem pronto que é a cara do Guts, simplesmente fantástico.', 'Um jogo muito legal, mas poderia ser muito melhor, tem um grande problema com pop-in e a história é meio fraca, tem lutas de chefes muito boas mas as mais interessantes estão depois que você terminar a campanha, concluindo, tem potencial mas esse jogo parece mais uma carcaça de um jogo muito melhor, que eu espero que seja a sequência', ""Jogo foda com lutas épicas e tem mecânicas pouco usadas, por isso o combate é diferente dos outros RPG's.\n                     \n                     Dragon's Dogma: Dark Arisen é uma mescla de Shadow of the Colossus, Dark Souls e Dragon Age.\n                     \n                     Esse jogo é um prato cheio pra quem gosta de lutas legais e também tem várias estratégias."", 'dropei', 'Simplesmente um dos melhores ARPG já feitos, tem uma das melhores, se não a melhor DLC dos jogos, os únicos problemas são a falta de acessibilidade e a vagueza de informações que o jogo te oferece, você simplesmente não vai extrair 100% do jogo sem usar a wiki ou pesquisar sobre na internet, recomendo que jogue como se fosse seu TCC da faculdade.']",3600,224,2300,511
52,Alan Wake,,"May 14, 2010","['Microsoft Game Studios', 'Remedy Entertainment']",3.6,756,269,"['Windows PC', 'Xbox 360']","['Adventure', 'Shooter']","Presented in the style of a TV series, Alan Wake features the trademark Remedy storytelling and pulse-pounding action sequences. As players dive deeper and deeper into the mystery, they’ll face overwhelming odds, plot twists, and cliffhangers. It’s only by mastering the Fight With Light combat mechanic that they can stay one step ahead of the darkness that spreads across Bright Falls.
             

              With the body of an action game and the mind of a psychological thriller, Alan Wake’s intense atmosphere, deep and multi-layered story, and exceptionally tense combat sequences provide players with an entertaining and original gaming experience.","['Played this when it originally released but got stuck in a quicksave death loop and abandoned it but finally came back so I could play Control.', 'Cool', 'Una historia que me emocionante de corte clasiquero a lo don Estefan Rey. El gameplay es correcto, no será lo mejor del mundo pero es funcional a la historia que nos cuentan.\n                     \n                     Encuentro que este es uno de los mejores (si es que no el mejor) juegos de terror en tercera persona, me encanta como se va dando la historia en modo de serie e incluso con canciones por temporada para que en verdad el jugador sienta que vive esta aventura en modo ""televisivo"".\n                     \n                     El DLC me parece más de lo mismo y en verdad es casi innecesario.', 'Alan despierta, o capaz que no y es todo un sueño', 'Butter spread thin over a giant piece of stale bread', 'Legal, tem uma história muito boa e a jogabilidade também é pica pra época, porém meu xbox quebrou e eu nunca quis zerar ele. (também não sinto falta de não ter jogado até o fim.)']",6700,107,2200,802
53,BioShock,,"Aug 21, 2007","['2K Games', '2K Boston']",4.0,2000,702,"['Windows PC', 'Mac', 'Xbox 360', 'PlayStation 3']","['Adventure', 'RPG', 'Shooter']","BioShock is a horror-themed first-person shooter set in a steampunk underwater dystopia. The player is urged to turn everything into a weapon: biologically modifying their own body with Plasmids, hacking devices and systems, upgrading their weapons, crafting new ammo variants, and experimenting with different battle techniques are all possible. The game is described by the developers as a spiritual successor to their previous PC title System Shock 2. BioShock received high praise in critical reviews for its atmospheric audio and visual quality, absorbing and original plot and its unique gaming experience.","[""bu muydu?\n                     \n                     bu kadar bariz bir plot twist'e mi insanlar coşuyordu?"", 'This game taught me a very valuable lesson: If you smoke and drink at the same time, they cancel each other out.', 'Great atmosphere and the story is interesting, but while gunplay can feel pretty janky at times.', 'Pretty much close to a perfect gaming experience that everyone should play. The most immersive an FPS has ever been + and for a game that came out whilst George Bush was president it has held up amazingly well. A truly wonderful world it built. Drawbacks would be that the final boss was a bit odd but the gunplay was great and rewarded creativity and skill.', 'story and visuals are so raw until you experience that jank ass behind of its time gunplay', 'Un juego con un discurso interesantísimo sobre la libertad en los videojuegos, un giro a mitad de historia que da para el recuerdo y todo adornado con una ambientación bestial.']",19000,367,4300,1300
54,Sonic Unleashed,,"Nov 20, 2008","['Sega', 'Sonic Team']",3.3,775,449,"['Xbox 360', 'PlayStation 3']","['Adventure', 'Brawler', 'Platform']","Gameplay in Sonic Unleashed focuses on two modes of platforming play: fast-paced levels that take place during daytime, showcasing Sonic's trademark speed as seen in previous games in the series, and slower, night-time levels, during which Sonic's Werehog form emerges, and gameplay switches to an action-based, brawler style of play, in which Sonic battles Gaia enemies","['Provavelmente é o melhor jogo do Sonic moderno que já joguei. A unica coisa que impede que eu dê uma nota maxima para o mesmo, é a existencia do Werehog..a quem ame, e a quem odeie, eu o odeio pelo simples fato de;', 'Sonic Unleashed é um bom jogo e ousado ao mesmo tempo por ser basicamente 2 jogos em 1 só.', 'Plus autant de souvenirs que ça mais je me rappelle avoir kiffé', ""Okay hear me out HEAR ME OUT. Objectively, this game is not a 9/10, but I'd be lying if I said that that wasn't the amount of enjoyment I've gotten out of this game. Maybe because of nostalgia, maybe because I'm a Sonic fan, but I think there's a lot of shit in this game that people write off or don't give the time of day (heh werehog), when there's a lot to like here. I want to talk about the story + visual presentation, the Hedgehog experience, the werehog experience, the music, and the miscellaneous doodads. TW: Sonic fan."", 'sonic monstro\n                     \n                     hype', 'since i played it on the pc i managed to put a 60fps patch that actually improved the performance somehow it wasnt stable or anything but at least i could play it with more than 15 fps so that was actually an achievement lolololololol']",7000,120,1100,506
55,Luigi's Mansion 3,,"Oct 31, 2019","['Nintendo', 'Next Level Games']",3.8,881,377,['Nintendo Switch'],['Adventure'],"Luigi embarks on a dream vacation with Mario and friends upon receiving an invitation to a luxurious hotel. However, his dream quickly becomes a nightmare when King Boo reveals everything had been a ploy to capture Mario and friends. With the assistance of Professor E. Gadd once again, the reluctant and cowardly hero Luigi traverses up and down treacherous floors of the now-ominous hotel on a quest to save them.","['Jogando esse game pela primeira vez agora em 2023, to gostando bastante do game.', 'I love Luigi', ""Definitely the best looking game on the switch. Oozes with character and personality. A lot of the puzzles were frustrating and I admittedly had to look a lot of them up. The gameplay is slow, which isn't necessarily a bad thing, but sometimes it slows to a turtles pace. Pair this with getting stuck on a hard puzzle and often times I just wanted to go play something else. It took me awhile to beat this game because of that, but in short-medium bursts it's very fun."", 'Feels good when you suck up the things. The moment I got frustrated with a puzzle - which was a lot -  I immediately looked up the answer on Youtube.', 'did not expected it to be so good. its better than the first one', 'Best luigis mansion game by far it builds off of what the first game did and it does it very well. Everything in this game is so colorful and fun and you can tell the developers and animators had so much fun making it']",6000,344,2300,1400
56,Night in the Woods,,"Feb 21, 2017","['Finji', 'Infinite Fall']",4.0,1100,501,"['Windows PC', 'Mac', 'Linux', 'PlayStation 4', 'iOS', 'Xbox One', 'PlayStation 5', 'Nintendo Switch']","['Adventure', 'Indie', 'Platform']","Night In The Woods is an adventure game heavily focused on story, characters and exploration, with some platforming to get around town. Mae's a cat so the roofs and ledges and powerlines are all her playground, and she's not the only one up there by a long shot. You'll also be doing various activities and interacting with the world in different ways, getting to know the townspeople, hanging out with friends, exploring Possum Springs inside and out, and venturing into the surrounding areas.","['Not even furries are safe from mountain towns with dark secrets. How tragic', 'that got so deep and so beautiful and so sad =(', 'SHE ME FR!!!', ""I am going to have to abandon this. I enjoy the story and the characters, but it just isn't fun to actually play. I think I would prefer just watching someone else play it. That, and for some reason when I opened it, all my save data disappeared.. and the thought of needing to replay up the point I got in makes me very annoyed. Again, interesting story from what I saw, and I do like the characters, but the actual gameplay is not enjoyable, at least in my opinion. I don't have the patience for it -- it feels quite slow and I just wanted it to get going."", 'Hits different when you drop out of college', 'От игры порой очень сильно несёт всей этой тамблер-твиттер темой, временами проскакивают лишние сопли. Да и закулисные истории, начиная с первой выпущенной версии игры (в которой буквально нихуя интересного не было) и заканчивая очень мутной историей с Холовкой, слегка подкашивают ощущения. Но в целом, игра оставляет очень приятные впечатления. Атмосфера Гудспрингс такая сладкая, что сам по своему родному Зажопинску заскучаешь и захочешь приехать на недельку. Остальное отходит на задний план: сюжет я уже подзабыл, а геймплея тут по сути и нет, просто шароебшься да с маргиналами общаешься.\n                     \n                     Кому-то подобных развлечений и в реальной жизни хватает, так что учитывайте это.\n                     \n                     Короче то, что по идее должно было быть кринжовым говном, вышло достаточно милым и приятным приключением со слегка тоскливым послевкусием. Если хотите чего-то подобного - крайне советую.']",6400,326,3400,1600
57,Bully,,"Oct 17, 2006","['Rockstar Vancouver', 'Take-Two Interactive']",3.9,703,260,"['Windows PC', 'PlayStation 4', 'PlayStation 2']",['Adventure'],"As a mischievous schoolboy, you’ll stand up to bullies, get picked on by teachers, play pranks, win or lose the girl, and ultimately learn to navigate the obstacles of the worst school around, Bullworth Academy - a corrupt and crumbling prep school with an uptight facade.","['Easily the best of the RockStar games. Stop making GTA and Red Dead sequels, we NEED more Bully!', ""Can't count how many times I've beaten this"", 'The only rockstar games game I ever played LOL', 'The best Rockstar game', ""I have good memories of Bully and It's among Rockstar underrated games"", 'The best part about Bully has to be the characters, the game instantly grabs you with each and every interaction. Near every NPC has their own unique personality that makes all of them memorable, at first I thought needing to take a picture of every single NPC would be a nightmare, but as you play and learn the characters it was hardly even a challenge (But don\'t worry I\'ll get to the other annoying collectables later). They are so great and so close to perfection that it infuriates me further that, in my opinion, they somewhat blundered the big finale and running plot thread. The character of Gary is my favourite character in the game and the primary antagonist for the later acts of the game after his betrayal. Immediately after his betrayal, he disappears and you no longer interact with him, although the odd few times you can spot him with rival gangs sabotaging you, which I thought was a really clever and subtle way to show that he is clearly involved and will return as the big bad at the end. However, this was all for nought in my opinion as in the final 2 acts, all Petey and other characters blabber on about constantly is ""Oh this must be Gary\'s doing!"" ""We need to sort out Gary I bet he\'s behind this!"" etc. etc. and it just becomes super tiresome and feels rather unearned that Gary would have this notoriety and fear from everybody when everything we\'ve seen him do was quite subtle. Again, it infuriates me because they were so close to perfection! Remove those stupid lines bigging up Gary and it would\'ve been a great build-up for his character, showing us his meddlings subtly rather than TELLING us how scary and involved he is.']",7200,90,1400,828
58,Returnal,,"Apr 30, 2021","['Housemarque', 'Sony Interactive Entertainment']",4.0,785,315,"['Windows PC', 'PlayStation 5']",['Shooter'],"After crash-landing on a shape-shifting alien planet, Selene finds herself fighting tooth and nail for survival. Again and again she’s defeated, forced to restart her journey every time she dies. In this roguelike shooter, both the planet and your equipment change with every cycle, forcing you to adapt your play style and take on evolving challenges.","[""Probably the best rogulite I've played - the animations and sound design is also top notch"", 'banger', 'The best 2021 PS5 exclusive game and one of my favourite roguelike.\n                     \n                     As a fan of sci-fi this was an instant yes. mixing up a TPS with roguelike mecanics was a suepr good idea.', 'impossible to progress past the third boss in co op', ""I must be frank with myself: I'm really not having a good time with this game. There are cool mechanics, and some of the weapons are fun to use, but I don't feel motivated to go on cycle after cycle. I haven't played many rogue-likes; in fact, the only other game of the genre I played was Hades, and in my opinion, Returnal completely pales in comparison. Perhaps this game just isn't for me, which is why I'll refrain from rating it. I'd like to return some day, but for now, I've broken the cycle and am free from Atropos."", 'What a game. It walks the fine line of arcade video game fun and never ending dread incredibly well. Even though the core gameplay and mechanics are all nothing new, everything about Returnal comes together to create a truly unique experience.']",2700,437,1900,1700
